"强度","Strength"
"梯度渐变","Color Gradient"
"亮度/对比度","Bright/Contrast"
"线性到sRGB","Linear To sRGB"
"sRGB到线性","sRGB To Linear"
"RGB到HSV","RGB To HSV"
"HSV到RGB","HSV To RGB"
"RGB梯度渐变","RGB Gradient"
"RGBA梯度渐变","RGBA Gradient"
"软倒角","Soft Bevel"
"硬倒角","Hard Bevel"
"双面","Double Sided"
"预计算切线","Precomputed Tangents"
"场景按集合剔除","SceneFilter"
"主Pass","MainPass"
"预处理Pass","PrePass"
"接受阴影","Receive Shadow"
"内阴影","Self Shadow"
"透明单层","Transparency Single Layer"
"颜色梯度渐变:","Color Gradient :"
"NPR漫射:","NPR Diffuse :"
"分辨率:","Resolution :"
"样本数","Sample :"
"平滑插值","Smooth Interpolation"
"网格大小","Grid Size"
"样本:","Samples :"
"视图预览:","Viewport :"
"使用材质设置","Inherit from Material"
"开启阴影","Enable Shadows"
"禁用自阴影","Disable Self-Shadows"
"禁用阴影","Disable Shadows"
"沃挪诺伊 F1 3D","Voronoi F1 3D"
"合并矢量","Combine Vector"
"分离矢量","Separate Vector"
"浮点运算-比较","Float Math Compare"
"添加A通道","Append Alpha"
"噪波 FBM 3D","Noise FBM 3D"
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
