蒙皮权重文件,"Skin Weight files"
在选择的顶点上添加微权重梯度方法,"Add Micro Weight On Selected Vertices Gradient Method"
以梯度方式减少相对于每个选定顶点权重值的微权重,"Reduce micro weight with respect to each selected vertex weight value in a gradient manner"
减少微权重的选择顶点梯度方法,"Reduce Micro Weight On Selected Vertices Gradient Method"
擦洗时间线,"Scrub Time Line"
镜像重量不对称,"Mirro weight asymmetrically"
首先保存blend文件,"Save Blend File First."
请选择与当前混合文件不同的文件夹路径。,"Please choose a folder path different from where current blend file is."
请选择上面的文件夹，而不是文件或无效路径。,"Please choose a folder above, not a file nor invalid path."
请选择有效的文件。,"Select a valid file."
中止!顶点数不匹配。,"Abort! Vertices count do not match."
在鼠标光标下切换活动骨骼,"Switch Active Bone Under Mouse Cursor"
在光标下切换骨骼,"Switch Bone Under Cursor"
权重文件夹,"Weight Files Folder"
自动归一化,"Auto Normalize"
当打开时，任何重量值调整，如增加重量或平滑重量将自动调整到总数为1,"When Turned on, any weight value adjustment such as increase weight or smooth weight will auto adjusted to total of 1"
锁定顶点组,"Locked Vertex Group"
当打开时，平滑加权将考虑锁定的顶点组状态，任何锁定的顶点组都不受影响。但在高密度网格上运行稍慢,"When Turned on, Smooth Weight will take into account the locked vertex group state,any locked vertex group is untouched. but operate slightly slower on high density mesh"
平滑活动顶点组,"Smooth Active Vertex Group"
当打开时，平滑加权算子将只对活动顶点组起作用，否则所有顶点组都会受到影响,"When Turned on, the Smooth Weight operator will only work on active vertex group, otherwise all vertex groups are effected "
自定义前缀,"Custom Prefix"
X+,"Positive X"
X-,"Negative X"
自定义后缀,"Custom Suffix"
自定义快捷键:,"Custom Shortcuts: "
